U+1F468 U+200D U+1F467 U+200D U+1F467,girl,family,man,person,,,,,,,,
U+1F469 U+200D U+1F466,boy,woman,family,person,,,,,,,,
U+1F469 U+200D U+1F466 U+200D U+1F466,boy,woman,family,person,,,,,,,,
U+1F469 U+200D U+1F467,girl,woman,family,person,,,,,,,,
U+1F469 U+200D U+1F467 U+200D U+1F466,boy,girl,woman,family,person,,,,,,,
U+1F469 U+200D U+1F467 U+200D U+1F467,girl,woman,family,person,,,,,,,,
U+1F453,eye,eyeglasses,clothing,eyewear,glasses,,,,,,,
U+1F576,dark,eye,sunglasses,eyewear,glasses,,,,,,,
U+1F454,clothing,necktie,,,,,,,,,,
U+1F455,t-shirt,tshirt,clothing,shirt,,,,,,,,
U+1F456,clothing,trousers,jeans,pants,,,,,,,,
U+1F457,clothing,dress,,,,,,,,,,
U+1F458,kimono,clothing,,,,,,,,,,
U+1F459,swim,bikini,clothing,,,,,,,,,
U+1F45A,woman,clothes,clothing,womans,person,,,,,,,
U+1F45B,clothing,coin,purse,,,,,,,,,
U+1F45C,handbag,bag,purse,clothing,,,,,,,,
U+1F45D,pouch,clutch,clothing,bag,,,,,,,,
U+1F6CD,bags,hotel,shopping,bag,,,,,,,,
U+1F392,bag,school,backpack,satchel,,,,,,,,
U+1F45E,mans,clothing,shoe,man,person,,,,,,,
U+1F45F,athletic,running,clothing,shoe,sneaker,,,,,,,
U+1F460,woman,clothing,shoe,heel,high-heeled,person,,,,,,
U+1F461,woman,sandal,clothing,shoe,womans,person,,,,,,
U+1F462,clothing,woman,boot,shoe,womans,person,,,,,,
U+1F451,clothing,queen,crown,king,person,,,,,,,
U+1F452,clothing,woman,hat,womans,person,,,,,,,
U+1F3A9,clothing,top,hat,tophat,,,,,,,,
U+1F393,hat,cap,clothing,graduation,celebration,,,,,,,
U+26D1,helmet,rescue,workers,cross,face,aid,hat,,,,,
U+1F4FF,necklace,religion,beads,clothing,prayer,,,,,,,
U+1F484,makeup,lipstick,cosmetics,,,,,,,,,
U+1F48D,ring,diamond,,,,,,,,,,
U+1F48E,stone,diamond,jewel,gem,,,,,,,,
U+1F435,monkey,face,animal,mammal,,,,,,,,
U+1F412,monkey,animal,mammal,,,,,,,,,
U+1F98D,gorilla,animal,mammal,,,,,,,,,
U+1F436,pet,dog,face,animal,mammal,,,,,,,
U+1F415,pet,dog,animal,mammal,,,,,,,,
U+1F429,poodle,dog,animal,mammal,,,,,,,,
U+1F43A,wolf,face,animal,mammal,,,,,,,,
U+1F98A,fox,face,animal,mammal,,,,,,,,
U+1F431,pet,face,cat,animal,mammal,,,,,,,
U+1F408,pet,cat,animal,mammal,,,,,,,,
U+1F981,lion,Leo,zodiac,face,animal,mammal,,,,,,
U+1F42F,tiger,face,animal,mammal,,,,,,,,
U+1F405,tiger,animal,mammal,,,,,,,,,
U+1F406,leopard,animal,mammal,,,,,,,,,
U+1F434,horse,face,animal,mammal,,,,,,,,
U+1F40E,horse,racehorse,racing,equestrian,animal,mammal,,,,,,
U+1F984,face,unicorn,animal,mammal,,,,,,,,
U+1F98C,deer,animal,mammal,,,,,,,,,
U+1F42E,cow,face,animal,mammal,,,,,,,,
U+1F402,zodiac,bull,Taurus,ox,animal,mammal,,,,,,
U+1F403,water,buffalo,animal,mammal,,,,,,,,
U+1F404,cow,animal,mammal,,,,,,,,,
U+1F437,face,pig,animal,mammal,,,,,,,,
U+1F416,sow,pig,animal,mammal,,,,,,,,
U+1F417,boar,pig,animal,mammal,,,,,,,,
U+1F43D,face,nose,pig,animal,mammal,,,,,,,
U+1F40F,sheep,zodiac,ram,male,Aries,animal,mammal,,,,,
U+1F411,sheep,female,ewe,animal,mammal,,,,,,,
U+1F410,Capricorn,zodiac,goat,animal,mammal,,,,,,,
U+1F42A,dromedary,hump,camel,animal,mammal,,,,,,,
U+1F42B,bactrian,two-hump,hump,camel,animal,mammal,,,,,,
U+1F418,elephant,animal,mammal,,,,,,,,,
U+1F98F,rhinoceros,animal,mammal,,,,,,,,,
U+1F42D,mouse,face,animal,mammal,,,,,,,,
U+1F401,mouse,animal,mammal,,,,,,,,,
U+1F400,rat,animal,mammal,,,,,,,,,
U+1F439,pet,hamster,face,animal,mammal,,,,,,,
U+1F430,pet,bunny,rabbit,face,animal,mammal,,,,,,
U+1F407,pet,bunny,rabbit,animal,mammal,,,,,,,
U+1F43F,chipmunk,animal,mammal,,,,,,,,,
U+1F987,bat,vampire,animal,mammal,,,,,,,,
U+1F43B,bear,face,animal,mammal,,,,,,,,
U+1F428,koala,bear,animal,mammal,,,,,,,,
U+1F43C,panda,face,animal,mammal,,,,,,,,
U+1F43E,feet,print,prints,paw,animal,,,,,,,
U+1F983,turkey,bird,animal,,,,,,,,,
U+1F414,chicken,bird,animal,,,,,,,,,
U+1F413,bird,rooster,animal,,,,,,,,,
U+1F423,baby,chick,bird,hatching,animal,,,,,,,
U+1F424,baby,chick,bird,animal,,,,,,,,
U+1F425,baby,chick,front-facing,bird,animal,,,,,,,
U+1F426,bird,animal,,,,,,,,,,
U+1F427,bird,penguin,animal,,,,,,,,,
U+1F54A,fly,peace,dove,bird,animal,,,,,,,
U+1F985,eagle,bird,animal,,,,,,,,,
U+1F986,bird,duck,animal,,,,,,,,,
U+1F989,owl,wise,bird,animal,,,,,,,,
U+1F438,frog,face,animal,,,,,,,,,
U+1F40A,crocodile,animal,,,,,,,,,,
U+1F422,turtle,tortoise,terrapin,animal,,,,,,,,
U+1F98E,lizard,reptile,animal,,,,,,,,,
U+1F40D,zodiac,bearer,snake,serpent,Ophiuchus,animal,,,,,,
U+1F432,tale,fairy,face,dragon,animal,,,,,,,
U+1F409,tale,fairy,dragon,animal,,,,,,,,
U+1F433,spouting,whale,face,animal,marine,mammal,,,,,,
U+1F40B,whale,animal,marine,mammal,,,,,,,,
